Week;Unique_website_visitors;Holidays;January;February;March;April;May;June;July;August;September;October;November;December;Customer_trust_index;Rainfall;MAGAZINE_MARKETING;MOVIE_MARKETING;INTERNET_MARKETING;RADIO_MARKETING;NEWSPAPER_MARKETING;TELEVISION_MARKETING;BILLBOARD_AND_TRAFFIC_MARKETING;TELEVISION_CONTACTS;RADIO_CONTACTS;Newsletters_sent_current_customers;Newsletters_opened_current_customers;Newsletters_sent_new_customers;Newsletters_opened_new_customers;Search_engine_marketing_expenses;Search_engine_marketing_clicks;Search_engine_marketing_impressions;Recency_Impressions;Recency_clicks;Burst_Impressions;Burst_clicks;Burst_expenses;TELEVISION_PROGRAM_COOPERATION_WEEK;COMPETITOR_A_total;COMPETITOR_A_NEWSPAPER;COMPETITOR_A_MAGAZINE;COMPETITOR_A_TELEVISION;COMPETITOR_A_RADIO;COMPETITOR_A_BILLBOARD;COMPETITOR_A_MOVIE;COMPETITOR_A_INTERNET;COMPETITOR_B_total;COMPETITOR_B_NEWSPAPER;COMPETITOR_B_MAGAZINE;COMPETITOR_B_TELEVISION;COMPETITOR_B_RADIO;COMPETITOR_B_BILLBOARD;COMPETITOR_B_MOVIE;COMPETITOR_B_INTERNET;COMPETITOR_C_total;COMPETITOR_C_NEWSPAPER;COMPETITOR_C_MAGAZINE;COMPETITOR_C_TELEVISION;COMPETITOR_C_RADIO;COMPETITOR_C_BILLBOARD;COMPETITOR_C_MOVIE;COMPETITOR_C_INTERNET;COMPETITOR_D_total;COMPETITOR_D_NEWSPAPER;COMPETITOR_D_MAGAZINE;COMPETITOR_D_TELEVISION;COMPETITOR_D_RADIO;COMPETITOR_D_BILLBOARD;COMPETITOR_D_MOVIE;COMPETITOR_D_INTERNET
56;66926;0;1;0;0;0;0;0;0;0;0;0;0;0;3.4;7.6;0;0;21386.6;0;0;18785.88;0;187.2;0;0;0;0;0;3193.01;21327;530909;19499487;9992;1185886;6165;16166.3106324727;0;25.5181059563;10.91543;0;13.3509;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;67.7435;1.26852;0;66.47498;0;0;0;0;54.1092716129;37.67282;0;0;0;16.4364516129;0;0
57;77011;0;0;1;0;0;0;0;0;0;0;0;0;0;3.4;6.9;9383.58;0;5737.5;38938.29;0;0;0;0;222.74;89314;23266;23120;5073;3414.51;22614;562142;16021500;9140;845309;5596;10637.7900754483;0;129.7782059563;56.48232;0;32.83711;0;1.2517759563;0;39.207;0;0;0;0;0;0;0;0;83.38558;0;8.09407;69.02751;6.264;0;0;0;351.6477073081;91.05487;0;110.02426;13.422;6.0195773081;25.99;105.137
58;66244;0;0;1;0;0;0;0;0;0;0;0;0;0;4.625;1.7;0;0;0;0;0;0;0;0;218.96;0;0;0;0;3246.61;19135;574267;16098357;10878;9197;195;151.7048290451;0;18.4110859563;8.65778;0;8.50153;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;53.06945;4.57126;0;48.49819;;;0;0;120.8534575862;19.81926;0;90.77137;0;10.2628275862;0;0
59;63362;0;0;1;0;0;0;0;0;0;0;0;0;0;5.85;24.5;3739.15;0;0;0;0;0;0;0;204.47;0;0;0;0;2953.32;8542;497332;11005203;7957;35840;674;590.2776415931;0;36.2449259563;1.49015;0;0;0;1.2517759563;33.503;0;0;0;0;0;0;0;0;0;100.61347;2.9492;0;97.66427;0;0;0;0;76.7138042529;25.60688;5.86135;31.17908;0;14.0664942529;0;0
60;69222;0;0;1;0;0;0;0;0;0;0;0;0;0;7.075;11.6;0;0;32893.09;0;0;0;0;0;0;0;0;0;0;3820.51;15439;572830;11400387;7805;3561692;14814;24496.3381165034;0;8.1619559563;0.24066;0;6.66952;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;97.82163;6.50542;0;91.31621;0;0;0;0;59.7852042529;49.35791;3.6708;0;0;6.7564942529;0;0
61;70264;0;0;0;1;0;0;0;0;0;0;0;0;0;8.3;11.3;0;0;6375;0;0;12316.24;0;145.7;0;0;0;0;0;5833.21;14567;608968;9816487;7925;1074904;8232;12196.7784888628;0;125.8078859563;50.81449;0;29.98212;0;1.2517759563;0;43.7595;0;0;0;0;0;0;0;0;118.43293;3.9431;7.4057;78.29613;28.788;0;0;0;127.8542546644;0;17.35539;0;58.321;11.2538646644;0;40.924
62;72653;0;0;0;1;0;0;0;0;0;0;0;0;0;8.225;8.9;0;0;4998.6;0;0;27657.86;0;129.1;0;89472;28484;0;0;4691.19;12287;468788;13016522;11172;905771;4384;10879.6315340306;0;16.0200659563;10.97873;0;3.78956;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;17.53189;0;4.03661;13.49528;0;0;0;0;43.1308658065;1.27432;7.27881;22.41351;0;12.1642258065;0;0
63;62199;0;0;0;1;0;0;0;0;0;0;0;0;0;8.15;3.8;0;0;3800;0;0;0;0;0;0;0;0;17871;3268;4669.64;11789;501864;22159359;9530;63;7;0.9593191982;0;1.6280459563;0.37627;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;53.46607;24.30003;0;29.16604;0;0;0;0;43.0174558065;0.8274;0;28.10583;0;14.0842258065;0;0
64;60741;0;0;0;1;0;0;0;0;0;0;0;0;0;8.075;18.2;3739.15;0;22616.75;0;0;0;0;0;0;0;0;0;0;4616.06;11682;1264945;13056289;7954;1112490;2805;8134.8586683363;0;59.6336459563;0.32555;0;58.05632;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;40.76664;13.86216;0;26.90448;0;0;0;0;111.2872058065;76.03746;0;23.08552;0;12.1642258065;0;0
65;60747;0;0;0;1;0;0;0;0;0;0;0;0;0;8;10.9;5644.43;0;0;0;0;0;0;0;0;0;0;0;0;4525.32;11489;2429661;12655769;8302;993577;2408;6692.1550387302;0;171.2428259563;33.06645;4.80501;62.11559;0;1.2517759563;0;70.004;8.512;0;0;0;4.512;0;0;4;77.49191;45.7;0;20.54391;0;0;0;11.248;219.2228368817;84.64821;0;0;57.895;13.5796268817;2.961;60.139
66;55009;1;0;0;0;1;0;0;0;0;0;0;0;0;8.6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3775.85;9412;2904892;6710511;9319;585180;1908;3411.9586916812;0;60.8615159563;17.45496;27.03608;15.1187;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.2213933333;8.89836;0;0;0;19.3230333333;0;0
67;65452;0;0;0;0;1;0;0;0;0;0;0;0;0;9.2;7.4;0;0;21900.41;0;0;34775.48;0;143.5;0;0;0;0;0;3781.23;9496;3233890;9532212;16167;606742;3284;3526.2178842999;0;22.6788859563;18.86553;2.56158;0;0;1.2517759563;0;0;0.61892;0.61892;0;0;0;0;0;0;71.48853;10.18238;0;61.30615;0;0;0;0;32.3332133333;4.12618;0;0;0;19.3230333333;8.884;0
68;77846;0;0;0;0;1;0;0;0;0;0;0;0;0;9.8;23.5;0;0;11795.03;0;0;19601.9;0;161.5;0;84022;23957;0;0;3433.42;8972;3212630;17494607;12849;3245679;12868;16787.9022791202;0;10.0520059563;0;8.24023;0;0;1.8117759563;0;0;0;0;0;0;0;0;0;0;66.75086;8.20563;0;58.54523;0;0;0;0;20.5168433333;1.19381;0;0;0;19.3230333333;0;0
69;60932;0;0;0;0;1;0;0;0;0;0;0;0;0;10.4;13.9;0;0;0;0;0;21265.85;0;131.3;0;0;0;0;0;3356.63;8496;2903375;16395683;8191;748252;5235;5333.028503497;0;18.5215759563;17.2698;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;114.55631;29.24673;0;85.30958;0;0;0;0;20.0883133333;0.76528;0;0;0;19.3230333333;0;0
70;63722;0;0;0;0;0;1;0;0;0;0;0;0;0;10.4;17.2;2713.2;0;29216.78;0;0;17698.9;0;130.4;0;0;0;0;0;3287.15;8210;2473735;15028247;7848;2719186;11272;14627.5511981687;0;72.9712959563;7.87949;3.30603;4.485;0;1.2517759563;0;56.049;10.343;0;0;7.67;2.124;0;0;0.549;175.91903;36.63438;8.68511;84.93954;21.203;0;0;24.457;130.0479952688;29.23635;2.68647;0;16.647;10.2621752688;0;71.216
71;60043;0;0;0;0;0;1;0;0;0;0;0;0;0;10.8;12.4;0;0;0;0;0;0;0;0.1;0;0;0;0;0;3500.96;11913;1936590;16203230;8862;170621;3667;2627.7588186328;0;22.0713459563;20.81957;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;50.60328;29.73547;0;20.86781;0;0;0;0;62.4989422581;53.74691;0;0;0;8.7520322581;0;0
72;68589;0;0;0;0;0;1;0;0;0;0;0;0;0;11.2;14.1;0;0;79747.67;0;4786.35;81528.1;0;223.9;0;86215;27201;0;0;3236.97;12436;1368416;11433707;4681;2451514;14422;24428.9406152144;0;18.7317159563;17.47994;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;24.15282;1.63702;0;22.5158;0;0;0;0;31.1741622581;22.42213;0;0;0;8.7520322581;0;0
73;64489;0;0;0;0;0;1;0;0;0;0;0;0;0;11.6;2;5644.43;0;0;58461.66;4786.35;50302.99;11046.18;277.1;42.63;0;0;0;0;3200.76;13643;1765142;17669658;7637;7360182;25718;48949.0402046253;0;23.5313459563;13.19196;0;9.08761;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;44.82544;5.29395;0;39.53149;0;0;0;0;40.2138422581;21.83792;0;9.62389;0;8.7520322581;0;0
74;69399;0;0;0;0;0;1;0;0;0;0;0;0;0;12;31.4;2040;0;0;0;2177.7;47611.27;0;300;82.21;0;0;0;0;4083.8;17724;1547733;18088023;9961;1405471;6531;13363.7900947165;0;168.1040759563;0.42503;0;42.24127;9.048;1.2517759563;0;115.138;26.987;0;0;12.35;3.209;0;0;11.428;84.33913;11.20207;0;38.76306;21.513;0;0;12.861;200.5319012903;75.20386;2.99298;14.5717;4.822;12.3923612903;0;90.549
75;72127;0;0;0;0;0;0;1;0;0;0;0;0;0;10.45;0.4;2325.6;0;0;0;2608.65;21334.55;0;128;119.85;0;0;0;0;4130.9;16302;1235148;17847108;11912;113;17;0.7858824717;0;16.6104959563;0.66085;0;14.69787;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;36.84361;20.07856;0;16.76505;0;0;0;0;20.0993933333;2.80565;0;0.04761;0;17.2461333333;0;0
76;65411;0;0;0;0;0;0;1;0;0;0;0;0;0;8.9;35;0;0;0;0;2177.7;0;0;0;129.09;0;0;0;0;4101.43;14449;1255862;16783370;10753;27;5;0.14370632;0;3.7807259563;0;0;2.52895;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;14.23168;7.67747;0;6.55421;0;0;0;0;98.2360333333;63.54532;0;17.44458;0;17.2461333333;0;0
77;56172;1;0;0;0;0;0;1;0;0;0;0;0;0;7.35;23;14717.67;0;0;0;3557.25;0;0;0;112.92;54315;16971;17761;5260;3942.14;13114;989923;16052525;8745;3;2;0.0179069979;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;3.2767;3.2767;0;0;0;0;0;0;52.7607933333;9.6694;0;25.84526;0;17.2461333333;0;0
78;68908;0;0;0;0;0;0;1;0;0;0;0;0;0;5.8;14.6;5644.43;0;0;0;0;0;0;0;128.48;0;0;0;0;4062.23;15428;1616993;12263876;8348;6;2;0.0353153674;0;72.9407859563;0;0;23.28151;17.0945;1.2517759563;0;31.313;13.754;0;0;0;11.566;0;0;2.188;89.60304;36.01402;0;16.93652;28.091;0;0;8.5615;144.5434664516;54.88981;0;13.95245;33.294;15.6052064516;0;26.802
79;66702;0;0;0;0;0;0;0;1;0;0;0;0;0;4.375;6.2;0;0;0;0;5320.2;0;0;0;0;85274;32280;0;0;3898.24;13814;1698685;6269535;8175;5;2;0.0306072276;0;1.7846359563;0;0;0.53286;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;28.8593;11.71968;0;17.13962;0;0;0;0;9.8946351613;9.68883;0;0.04616;0;0.1596451613;0;0
80;61888;0;0;0;0;0;0;0;1;0;0;0;0;0;2.95;26.7;10855.78;0;6400;29141.32;5320.2;0;0;0;164.36;0;0;0;0;3467.65;13712;1548945;6777726;7333;32922;402;0.0768228311;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;13.98697;0;0;13.98697;0;0;0;0;36.6006751613;36.44103;0;0;0;0.1596451613;0;0
81;62548;0;0;0;0;0;0;0;1;0;0;0;0;0;1.525;10.7;10536.6;0;6805.56;36003.57;2727.74;0;0;0;262.01;0;0;0;0;3273.54;13809;1514237;6010558;7441;1418980;3985;6997.6837860547;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;16.25661;4.77362;0;11.48299;0;0;0;0;1.5899351613;0.30429;0;0;0;1.2856451613;0;0
82;59420;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1;21.4;3739.15;0;4799.17;0;2577.8;0;0;0;250.42;0;0;0;0;3197.99;13880;1532548;9150870;6376;438083;2213;4930.1455141481;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;10.06729;10.06729;0;0;0;0;0;0;34.2142451613;34.0546;0;0;0;0.1596451613;0;0
83;63164;0;0;0;0;0;0;0;0;1;0;0;0;0;0.1;23.9;0;0;0;0;39273.7;43419.82;0;228.6;93.84;0;0;0;0;3223.27;14903;1457636;9557376;7224;62106;778;0.9542786899;0;71.4061272466;8.46402;0;5.98667;6.901;7.5694372466;0;42.485;19.671;0;0;8.008;11.305;0;0;0.358;113.40881;2.63082;8.21877;62.72622;21.076;0;0;18.757;128.6168706452;12.01829;0;4.929;27.781;11.9765806452;0;71.912
84;72004;0;0;0;0;0;0;0;0;1;0;0;0;0;0.2;5.7;4369.85;0;42257.07;0;39273.7;63424.35;0;235.1;31.28;0;0;0;0;3285.83;15640;1077895;8526164;6743;3586748;15551;19517.0816593299;0;39.3922717627;0;0;4.51177;0;34.8805017627;0;0;0;0;0;0;0;0;0;0;75.36491;16.8815;0;58.48341;0;0;0;0;157.1043030954;72.28511;2.1679;29.3975;0;24.8167930954;28.437;0
85;67236;0;0;0;0;0;0;0;0;1;0;0;0;0;0.3;3.8;0;0;0;36504.79;0;19416.03;0;197.5;160.23;0;0;0;0;3231.24;14221;1648405;6176886;8806;1878482;7174;9894.9187593864;0;42.8208417627;0;0;7.94034;0;34.8805017627;0;0;0;0;0;0;0;0;0;0;61.49467;18.29122;0;43.20345;0;0;0;0;126.165078398;46.13353;0;51.96938;0;28.062168398;0;0
86;60626;0;0;0;0;0;0;0;0;1;0;0;0;0;0.4;19;0;0;7225.01;0;0;16548.89;0;86.8;147.77;0;0;0;0;3190.34;12584;1623046;5119076;7779;359;76;1.9186452979;0;12.7602417627;0;0;2.66374;0;10.0965017627;0;0;0;0;0;0;0;0;0;0;10.61353;4.48136;0;6.13217;0;0;0;0;58.432738398;0.41018;0;29.96039;0;28.062168398;0;0
87;64497;0;0;0;0;0;0;0;0;1;0;0;0;0;0.5;42.7;0;0;12200.58;0;0;0;0;0.1;140.33;0;0;0;0;4311.67;13940;1415688;5353821;8481;4959042;6290;15992.9336419419;0;47.7905705799;0;0;0;0;7.7235705799;0;40.067;11.34;0;0;0;0;0;0;11.34;38.605;0;0;7.54;22.712;0;0;8.353;203.5237246346;0;4.67103;0.18708;38.39;22.2786146346;0;137.997
88;74681;0;0;0;0;0;0;0;0;0;1;0;0;0;1.225;6.4;2713.2;0;24890.28;0;0;88000.88;49738;359;0;83891;27701;0;0;3585.28;11792;1408761;5723044;7960;3013068;6326;21117.9228924566;0;1.959782623;0.16854;0;0;0;1.791242623;0;0;32.28067;0;0;32.28067;0;0;0;0;0;0;0;0;0;0;0;0;16.9365845117;2.3103;8.64709;0;0;5.9791945117;0;0
89;70011;0;0;0;0;0;0;0;0;0;1;0;0;0;1.95;11.5;0;0;3400.27;0;0;69465.95;0;307;0;0;0;0;0;3588.4;11617;1245041;5075144;7327;1382305;2715;8622.8507227729;0;1.791242623;0;0;0;0;1.791242623;0;0;24.61203;0;0;24.61203;0;0;0;0;0.59381;0;0;0.59381;;;0;0;32.745590226;16.40442;5.49519;0;0;10.845980226;0;0
90;66900;0;0;0;0;0;0;0;0;0;1;0;0;0;2.675;75.7;0;0;0;0;0;39029.54;0;122.5;0;0;0;0;0;3595.23;11812;1035510;31038528;12504;51487;415;0.3596400455;0;1.791242623;0;0;0;0;1.791242623;0;0;21.34522;0;0;21.34522;0;0;0;0;81.43703;36.73302;0;44.70401;0;0;0;0;92.893710226;32.9533;3.95992;45.13451;0;10.845980226;0;0
91;83311;0;0;0;0;0;0;0;0;0;1;0;0;0;3.4;31.5;0;0;36794.06;0;21881.02;0;0;0.3;0;10602;2737;0;0;3503.78;10505;950156;33219957;15689;2972541;13802;13686.3302033932;0;1.791242623;0;0;0;0;1.791242623;0;0;8.74844;0;0;8.74844;0;0;0;0;64.56458;16.85675;0;47.70783;0;0;0;0;84.973700226;23.26933;4.39437;52.41702;0;4.892980226;0;0
92;87565;0;0;0;0;0;0;0;0;0;0;1;0;0;2.15;18.1;0;0;14995.53;0;35912.76;0;0;0;0;83617;26767;0;0;3728.92;11085;1183008;4083511;14916;3574675;11742;21096.0726215799;0;83.7412259563;40.73945;0;0;0;4.7437759563;0;38.258;10.599;0;0;0;0;0;0;10.599;83.63856;15.17506;0;38.6265;27.116;0;0;2.721;247.3226529142;36.95734;13.55025;35.0982;51.225;20.3982329142;0;90.09363
93;73652;0;0;0;0;0;0;0;0;0;0;1;0;0;0.9;19.9;0;0;0;0;21881.02;0;42557.88;0;0;0;0;0;0;3495.61;11316;898560;4500059;12271;1350063;5074;6113.6315315661;0;1.9825859563;0.73081;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;37.0193;14.88812;0;22.13118;0;0;0;0;24.2950929142;0.47445;3.11318;0.30923;0;20.3982329142;0;0
94;64945;0;0;0;0;0;0;0;0;0;0;1;0;0;-0.35;45.9;0;0;0;0;0;0;5138.29;0;0;0;0;0;0;3380.84;11041;961954;7029772;11683;49642;410;920.3237714517;0;2.1399259563;0.88815;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;27.59105;16.09587;0;11.49518;0;0;0;0;67.5572029142;53.11197;0;0;0;14.4452329142;0;0
95;68531;0;0;0;0;0;0;0;0;0;0;1;0;0;-1.6;0.6;0;0;28356.92;0;0;109166.03;0;287.1;0;0;0;0;0;3280.56;10382;1034671;4888079;11003;2552709;12397;17225.7754576419;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;9.32522;9.32522;0;0;0;0;0;0;63.8007829142;46.45567;2.89988;0;0;14.4452329142;0;0
96;80247;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.6;15.2;12682.43;0;7999.7;0;0;48535.36;0;323.6;0;82786;20969;0;0;3320.16;11732;1079565;5082175;8509;3973680;13764;20788.0257045036;0;90.6473559563;5.13672;0;3.53186;0;1.2517759563;0;80.727;16.417;0;0;0;0;0;0;16.417;86.0924;14.67718;8.21877;50.22495;12.9715;0;0;0;56.48699614;0.81921;2.98125;0;0;13.66453614;0;39.022
97;70760;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.95;29;14588.47;0;12326.41;0;0;40332.21;0;250.4;0;0;0;0;0;3507.7;13053;1048812;5689002;9028;1431601;4792;13248.84922881;0;6.5845459563;0.23174;0;5.10103;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;53.89379;19.21219;0;34.6816;0;0;0;0;16.3427735593;1.22781;2.03595;0;0;13.0790135593;0;0
98;79252;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.3;7.7;13683.73;0;0;0;0;39560.5;0;210.6;0;0;0;0;0;3462.37;12779;1051976;7539163;21835;49387;397;918.119762136;0;7.8660759563;0.36788;0;6.24642;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;71.59903;7.29756;0;64.30147;0;0;0;0;36.0790635593;23.00005;0;0;0;13.0790135593;0;0
99;81917;0;0;0;0;0;0;0;0;0;0;0;1;0;0.35;5.3;17491.65;0;0;0;0;0;0;0;0;0;0;16907;4119;1431.22;4799;436935;7753981;16707;48026;383;892.8219955012;0;26.1309859563;24.87921;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;83.61765;5.7098;0;77.90785;0;0;0;0;15.2380835593;2.15907;0;0;0;13.0790135593;0;0
100;88295;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7.1;13621.26;0;15272.35;0;0;0;0;0;0;52285;17148;0;0;3087.47;10694;584396;5896130;16748;1397488;7322;14291.0744821696;0;80.4308659563;2.19409;0;0;0;1.2517759563;0;76.985;2.797;0;0;0;0;0;0;2.797;65.414;9.83341;0;52.56109;3.0195;0;0;0;210.1112535593;38.26444;0;4.68;0.18;9.9638135593;0;157.023
101;80228;0;0;0;0;0;0;0;0;0;0;0;0;1;1.625;6.7;11023.66;0;25238.39;0;0;0;0;0;0;34843;4710;16760;2237;3699.54;12169;705236;4785587;9946;4600937;17534;27593.319608528;0;1.2517759563;0;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;37.43635;12.3724;0;25.06395;0;0;0;0;58.9858935593;54.6259;2.18418;0;0;2.1758135593;0;0
102;85965;0;0;0;0;0;0;0;0;0;0;0;0;1;2.25;16.1;0;20803.75;6999.98;0;0;0;0;0;0;0;0;0;0;5451.18;16161;1093538;5143066;15423;799263;2610;7167.2332152838;0;15.3267259563;14.07495;0;0;0;1.2517759563;0;0;2.12729;2.12729;0;0;0;0;0;0;36.28469;24.28277;0;12.00192;0;0;0;0;105.9615935593;51.49946;0;52.28632;0;2.1758135593;0;0
103;76739;0;0;0;0;0;0;0;0;0;0;0;0;1;2.875;9.5;0;0;0;0;0;121975;0;0;0;81281;26473;0;0;5913.84;15850;983397;6865961;9310;175053;847;2057.9205168675;0;49.8186959563;48.56692;0;0;0;1.2517759563;0;0;0;0;0;0;0;0;0;0;57.39229;25.33599;0;32.0563;0;0;0;0;69.6081335593;10.33556;0;57.09676;0;2.1758135593;0;0
104;68522;1;0;0;0;0;0;0;0;0;0;0;0;1;3.5;22;0;0;10824.31;0;0;23351.73;0;261.6;0;0;0;0;0;2662.11;10560;643739;3567062;9240;1944045;8842;9893.7524920142;0;116.3509710929;0;0;7.95187;24.547;1.4306010929;0;82.4215;0;0;0;0;0;0;0;0;58.52376;13.86816;0;38.5136;0;0;0;6.142;83.5231680755;0.50862;0;6.04767;13.613;4.5238780755;0;58.83
105;75886;0;1;0;0;0;0;0;0;0;0;0;0;0;3.75;15.7;0;0;0;0;0;9257.8;0;0.1;0;81729;28408;0;0;3446.01;12567;787989;9251471;10155;987778;4132;3500.494956077;1;23.229;0;0;0;0;0;0;23.229;14.7184;0;0;6.0464;0;0;0;8.672;46.22385;5.69311;0;40.53074;0;0;0;0;133.2643485681;39.8014;0;0.9;3.3865;3.1839485681;0;85.9925
106;74206;0;1;0;0;0;0;0;0;0;0;0;0;0;4;6.4;0;12480.21;10000.08;0;0;21573.97;0;0;0;0;0;0;0;3399.16;12216;1108194;10310862;9426;1138150;5830;4094.3486747196;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.09855;19.24213;0;12.85642;0;0;0;0;12.9155032145;7.994;0;0;0;4.9215032145;0;0
107;88900;0;1;0;0;0;0;0;0;0;0;0;0;0;4.25;4.2;0;0;27883.63;0;0;22152.77;0;0;0;0;0;0;0;3083.1;12099;1496747;12008419;11530;6415570;27926;28265.2170291542;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.72255;6.18004;0;7.54251;0;0;0;0;42.1719232145;37.25042;0;0;0;4.9215032145;0;0
108;88841;0;1;0;0;0;0;0;0;0;0;0;0;0;4.5;3.1;0;0;32378.54;0;0;0;0;26.2;105;0;0;0;0;3194.23;11878;1112720;10475964;12192;7188288;25635;37789.4024955189;1;0.61114;0.61114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.88892;24.07129;0;4.81763;0;0;0;0;20.1746232145;15.25312;0;0;0;4.9215032145;0;0
109;92130;0;1;0;0;0;0;0;0;0;0;0;0;0;4.5;15.1;0;0;20386.54;0;0;0;0;13.3;105;6040;3039;0;0;3264.1;11959;978761;10412051;11116;5963286;20808;24798.3566255737;1;56.998;0;0;0;0;0;0;56.998;26.482;0;0;6.315;14.942;0;0;5.225;17.13317;11.69185;0;5.44132;0;0;0;0;185.9671861226;0.1305;0;75.82897;0.45;3.8837161226;0;105.674
110;92391;0;0;1;0;0;0;0;0;0;0;0;0;0;5.775;22.6;6508.03;0;0;0;37532.45;0;0;10.4;105;67303;19063;0;0;3396.47;12008;1050193;8261996;9655;1011161;4433;4292.6123434961;1;0;0;0;0;0;0;0;0;33.72288;0;0;33.72288;0;0;0;0;22.80959;20.47172;0;2.33787;0;0;0;0;74.04938;19.0631;0;52.48628;0;2.5;0;0
111;91229;0;0;1;0;0;0;0;0;0;0;0;0;0;7.05;6.7;9682.36;0;0;0;32731.89;0;0;0;105;0;0;0;0;3475.78;11665;845354;7375416;14131;1010213;3966;4512.3859356294;1;0;0;0;0;0;0;0;0;30.07698;0;0;30.07698;0;0;0;0;0.07396;0;0;0.07396;0;0;0;0;78.00764;46.76024;0;28.7474;0;2.5;0;0
112;93116;0;0;1;0;0;0;0;0;0;0;0;0;0;8.325;3.3;0;0;17386.04;0;0;0;0;0;0;0;0;0;0;3184.28;10916;805062;5426105;9144;4044336;15081;21567.1360129182;1;0;0;0;0;0;0;0;0;11.87709;0;0;11.87709;0;0;0;0;41.70476;21.40848;0;20.29628;0;0;0;0;57.46198;20.4168;0;34.54518;0;2.5;0;0
113;99414;0;0;1;0;0;0;0;0;0;0;0;0;0;9.6;2.8;0;0;26243.14;0;27411.39;0;0;191.7;0;0;0;0;0;3161.42;11234;839343;4570902;10947;4947704;19415;24306.6481897462;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.40651;0;0;31.40651;0;0;0;0;8.3182614286;0.18096;0;6.70873;0;1.4285714286;0;0
